,Unnamed: 0,index,name,brand,price,size,short,n,cat,n_cal,n_carb,n_sugar,n_fat,n_tfa,n_prot,n_mass,cal,carb,sugar,fat,tfa,prot
46,46,53,Bio-Brühe,GUT BIO,0.99,140-g-Glas,broth powder,140.0,g,40.0,10.0,2.0,0.0,0.0,0.0,12.0,466.6666666666666,116.66666666666666,23.33333333333333,0.0,0.0,0.0
47,47,55,Bio-Citrovin,GUT BIO,0.49,200-ml-Flasche,lemon juice concentrate,200.0,ml,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
48,48,56,Bio-Finnkorn,GUT BIO,0.99,260-g-Packung,toast buns,260.0,g,130.0,25.0,3.0,1.5,0.0,4.0,43.0,786.046511627907,151.1627906976744,18.13953488372093,9.069767441860463,0.0,24.186046511627907
49,49,57,Bio-Nürnberger Rostbratwurst,GUT BIO,3.79,250-g-Packung,bratwurst,250.0,g,283.05,2.42,0.0,24.8,0.0,11.66,85.0,832.5000000000001,7.11764705882353,0.0,72.94117647058825,0.0,34.294117647058826
50,50,59,Vegane Bio-Streichcreme,MEIN VEGGIE TAG,1.45,180-g-Glas,vegan vegetable spread,180.0,g,60.0,0.0,0.0,6.0,0.0,0.0,14.0,771.4285714285714,0.0,0.0,77.14285714285714,0.0,0.0
51,51,60,Bio-Käsestück,GUT BIO,2.99,200-g-Packung,cheese,200.0,g,113.12,0.87,0.13,9.33,0.26,6.4,28.0,808.0000000000001,6.214285714285714,0.9285714285714286,66.64285714285715,1.8571428571428568,45.71428571428572
52,52,61,Bio-Rotweincuvée Castilla IGP,GUT BIO/ENCINARES,2.69,"0,75-l-Flasche",wine,0.75,l,618.8,19.27,0.0,0.0,0.0,0.51,745.6,622.4517167381973,19.3837178111588,0.0,0.0,0.0,0.5130096566523604
53,53,62,Bio-Brötchen,GUT BIO,1.59,320-g-Packung,weat bred,320.0,g,90.28,14.8,0.4,1.7,0.0,2.6,23.2,1245.2413793103449,204.1379310344828,5.517241379310345,23.448275862068968,0.0,35.862068965517246
54,54,63,Bio-Brötchen,GUT BIO,1.69,Packung,weat bred,400.0,packung/beutel,90.28,14.8,0.4,1.7,0.0,2.6,23.2,1556.5517241379312,255.1724137931035,6.896551724137932,29.31034482758621,0.0,44.82758620689656
55,55,64,Bio-Rinder-Gulasch,GUT BIO,5.29,400-g-Packung,beef goulash,400.0,g,533.62,51.77,8.9,19.59,0.76,37.78,498.0,428.61044176706827,41.58232931726908,7.14859437751004,15.734939759036145,0.6104417670682731,30.34538152610442
56,56,65,Bio-Rinder-Gulasch,GUT BIO,6.99,400-g-Packung,beef goulash,400.0,g,533.62,51.77,8.9,19.59,0.76,37.78,498.0,428.61044176706827,41.58232931726908,7.14859437751004,15.734939759036145,0.6104417670682731,30.34538152610442
57,57,66,Bio-Lachsfilet,GUT BIO,6.99,250-g-Packung,salmon fillets,250.0,g,366.68,0.0,0.0,21.98,0.0,39.34,178.0,515.0,0.0,0.0,30.870786516853936,0.0,55.25280898876405
58,58,67,Bio-La Mancha,GUT BIO,2.69,"0,75-l-Flasche",wine,0.75,l,618.8,19.27,0.0,0.0,0.0,0.51,745.6,622.4517167381973,19.3837178111588,0.0,0.0,0.0,0.5130096566523604
59,59,68,Bio-Lachsfilets,GUT BIO,6.59,2x125-g-Packung,salmon fillets,250.0,g,175.1,0.0,0.0,10.5,0.0,18.79,85.0,515.0,0.0,0.0,30.88235294117647,0.0,55.26470588235294
